127.0.0.1 - - [29/Oct/2021:09:48:56 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:11:04:27 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:11:08:07 +0900] "GET /list?keyword=%ED%83%9C%EC%96%91 HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [29/Oct/2021:11:08:07 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:11:08:12 +0900] "GET /list?keyword= HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [29/Oct/2021:11:08:16 +0900] "GET /list?keyword=j HTTP/1.1" 500 3923
0:0:0:0:0:0:0:1 - - [29/Oct/2021:11:09:36 +0900] "GET /list?keyword=j HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [29/Oct/2021:11:09:36 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:11:09:46 +0900] "GET /list?keyword= HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:05:28 +0900] "GET /board/list?keyword=%ED%83%9C%EC%96%91&page=1 HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:05:32 +0900] "GET /board/list?keyword= HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:05:51 +0900] "GET /create HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:09:06 +0900] "GET /board/register HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:09:18 +0900] "GET /board/register HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:09:18 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:09:24 +0900] "GET /board/register HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:09:24 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:15:38 +0900] "GET /board/register HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:15:38 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:16:09 +0900] "GET /board/register HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:16:09 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:16:16 +0900] "GET /board/modify HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:16:20 +0900] "GET /board/list HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:17:20 +0900] "GET /board/read HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:19:14 +0900] "GET /board/read/100 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:21:07 +0900] "GET /board/read/100 HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:21:07 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:21:25 +0900] "GET /board/read/100 HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:21:25 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:23:13 +0900] "GET /board/read/100 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:23:13 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:44:31 +0900] "GET /board/read/100 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:44:31 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:44:36 +0900] "GET /board/list HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:44:37 +0900] "GET /board/get?register HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:44:38 +0900] "POST /board/post HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:45:16 +0900] "POST /board/post HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:46:01 +0900] "GET /board/get?register HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:46:01 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:46:02 +0900] "POST /board/post HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:46:03 +0900] "POST /board/post HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:46:05 +0900] "POST /board/post HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:50:41 +0900] "GET /board/get?register HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:50:41 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:50:43 +0900] "POST /board/post HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:50:46 +0900] "GET /board/get?register HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [29/Oct/2021:12:50:46 +0900] "POST /board/post HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:41:22 +0900] "GET /board/get?register HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:41:23 +0900] "POST /board/post HTTP/1.1" 400 979
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:41:26 +0900] "POST /board/post HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:41:28 +0900] "GET /board/get?register HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:41:28 +0900] "POST /board/post HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:41:29 +0900] "GET /board/get?register HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:45:19 +0900] "POST /board/post HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:45:20 +0900] "GET /board/get?modify= HTTP/1.1" 400 957
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:45:23 +0900] "GET /board/get?remove= HTTP/1.1" 400 957
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:45:24 +0900] "GET /board/get?list= HTTP/1.1" 400 955
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:45:28 +0900] "GET /board/get?modify= HTTP/1.1" 400 957
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:49:12 +0900] "GET /board/get?modify= HTTP/1.1" 500 10613
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:49:32 +0900] "GET /board/get?modify= HTTP/1.1" 400 957
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:50:35 +0900] "GET /board/get?modify= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:50:35 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:54:16 +0900] "GET /board/get?modify= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:54:16 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:13:54:18 +0900] "GET /board/get?list= HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:01:30 +0900] "GET /home HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:03:10 +0900] "GET /home HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:03:10 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:04:44 +0900] "GET /home HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:04:44 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:07:08 +0900] "GET /goHome0101 HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:10:07 +0900] "GET /home HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:10:07 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:10:08 +0900] "GET /goHome0101 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:10:10 +0900] "GET /goHome0102 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:14:07 +0900] "GET /goHome0102 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:14:08 +0900] "GET /goHome0101 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:21:02 +0900] "GET /home HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:21:02 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:21:04 +0900] "GET /goHome0201 HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:42:55 +0900] "GET /home HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:42:55 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:42:57 +0900] "GET /sub/goHome0202 HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:43:18 +0900] "GET /sub/goHome0202 HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:52:19 +0900] "GET /home HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:52:19 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:52:20 +0900] "GET /goHome0204 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:52:25 +0900] "GET /home HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:52:25 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:52:57 +0900] "GET /home HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:52:57 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:53:01 +0900] "GET /goHome0204 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2021:14:53:01 +0900] "GET /sub/goHome0202 HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:38:39 +0900] "GET /goHome03031 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:38:44 +0900] "GET /goHome0301 HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:39:29 +0900] "GET /goHome0301 HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:39:29 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:15:47:29 +0900] "GET /goHome0302 HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:07:55 +0900] "GET /goHome0303 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:08:01 +0900] "GET /goHome0303 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:08:01 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:21:11 +0900] "GET /register?userId=hongkd&password=1234 HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:41:32 +0900] "GET /list HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:42:34 +0900] "GET /member/list HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:45:34 +0900] "GET /member/list?userId=&password=&coin= HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:45:42 +0900] "GET /member/list?userId=&password=&coin= HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:45:42 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:45:43 +0900] "GET /member/list?userId=&password=&coin= HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:45:44 +0900] "GET /member/list?userId=&password=&coin= HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:45:44 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:45:45 +0900] "GET /member/list?userId=&password=&coin= HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:45:45 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:45:45 +0900] "GET /member/list?userId=&password=&coin= HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:45:45 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:45:45 +0900] "GET /member/list?userId=&password=&coin= HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:45:45 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:45:46 +0900] "GET /member/list?userId=&password=&coin= HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:45:55 +0900] "GET /member/list?userId=&password=&coin= HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:46:02 +0900] "GET /member/list?userId=&password=&coin= HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:46:03 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:46:03 +0900] "GET /member/list?userId=&password=&coin= HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:46:03 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:46:03 +0900] "GET /member/list?userId=&password=&coin= HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:46:03 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:46:03 +0900] "GET /member/list?userId=&password=&coin= HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:46:03 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:46:04 +0900] "GET /register01?userId=&password=&coin= HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:46:46 +0900] "GET /member/list?userId=&password=&coin= HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:46:46 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:46:52 +0900] "GET /register01?userId=123&password=123&coin=123 HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:49:17 +0900] "GET /register01?userId=123&password=123&coin=123 HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:49:17 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:49:34 +0900] "GET /register01?userId=123&password=123&coin=123 HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:49:34 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:54:42 +0900] "GET /register01?userId=123&password=123&coin=123 HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:54:42 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:54:48 +0900] "GET /register01?userId=123&password=123&coin=123 HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:54:49 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Oct/2021:16:54:52 +0900] "GET /register01?userId=12sdf3&password=123&coin=123 HTTP/1.1" 200 178
